date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:26:09	204866/204866	---MCZ	200	added ('OK')	application/octet-stream	etag:%22de3b43668c007c620f14f589c71a1fb7-ssl-df%22	https://davis-html.netlify.app/assets/fonts/fa-solid-900.eot?	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/fonts/fa-solid-900d41d.eot	(from https://davis-html.netlify.app/assets/css/fontawesome.css)
15:26:09	80328/80328	---M--	200	added ('OK')	font/woff2	etag:%2294091503d7e2b0439ae4fffe1420190e-ssl%22	https://davis-html.netlify.app/assets/fonts/fa-solid-900.woff2	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/fonts/fa-solid-900.woff2	(from https://davis-html.netlify.app/assets/css/fontawesome.css)
15:26:10	104252/104252	---MCZ	200	added ('OK')	application/font-woff	etag:%22d40fbdc4369bd344312aa0d4d710bc72-ssl-df%22	https://davis-html.netlify.app/assets/fonts/fa-solid-900.woff	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/fonts/fa-solid-900.woff	(from https://davis-html.netlify.app/assets/css/fontawesome.css)
15:26:11	204580/204580	---M--	200	added ('OK')	font/ttf	etag:%229b1766381f5e1fb4064b9af27b202f30-ssl%22	https://davis-html.netlify.app/assets/fonts/fa-solid-900.ttf	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/fonts/fa-solid-900.ttf	(from https://davis-html.netlify.app/assets/css/fontawesome.css)
15:26:11	4024/4024	---MCZ	200	added ('OK')	application/octet-stream	etag:%22efabfb9e56afa88f0ed977fc2fe29176-ssl-df%22	https://davis-html.netlify.app/assets/fonts/lg.eot?n1z373	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/fonts/lgd641.eot	(from https://davis-html.netlify.app/assets/css/lightgallery.min.css)
15:26:12	910710/910710	---MCZ	200	added ('OK')	image/svg+xml	etag:%223746c5fffcadad3ca852c24bd996a8e1-ssl-df%22	https://davis-html.netlify.app/assets/fonts/fa-solid-900.svg	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/fonts/fa-solid-900.svg	(from https://davis-html.netlify.app/assets/css/fontawesome.css)
15:26:12	4024/4024	---MCZ	200	added ('OK')	application/octet-stream	etag:%22efabfb9e56afa88f0ed977fc2fe29176-ssl-df%22	https://davis-html.netlify.app/assets/fonts/lg.eot?	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/fonts/lgd41d.eot	(from https://davis-html.netlify.app/assets/css/lightgallery.min.css)
15:26:12	3956/3956	---MCZ	200	added ('OK')	application/font-woff	etag:%222c95a35291d11a8e4e3ac33cd2df7e27-ssl-df%22	https://davis-html.netlify.app/assets/fonts/lg.woff?n1z373	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/fonts/lgd641.woff	(from https://davis-html.netlify.app/assets/css/lightgallery.min.css)
15:26:13	3880/3880	---M--	200	added ('OK')	font/ttf	etag:%22a6a26b82b34325313a1420c2fd2bc001-ssl%22	https://davis-html.netlify.app/assets/fonts/lg.ttf?n1z373	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/fonts/lgd641.ttf	(from https://davis-html.netlify.app/assets/css/lightgallery.min.css)
15:26:14	8855/8855	---MCZ	200	added ('OK')	image/svg+xml	etag:%22e5bbc5765ef1a640f8fbd6c74b9a70da-ssl-df%22	https://davis-html.netlify.app/assets/fonts/lg.svg?n1z373	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/fonts/lgd641.svg	(from https://davis-html.netlify.app/assets/css/lightgallery.min.css)
15:26:14	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	etag:1605816232-ssl-df	https://davis-html.netlify.app/assets/img/vimeo-play.png	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/vimeo-play.3d.delayed	(from https://davis-html.netlify.app/assets/css/lightgallery.min.css)
15:26:14	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	etag:1605816232-ssl-df	https://davis-html.netlify.app/assets/img/video-play.png	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/video-play.3e.delayed	(from https://davis-html.netlify.app/assets/css/lightgallery.min.css)
15:26:15	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	etag:1605816232-ssl-df	https://davis-html.netlify.app/assets/img/youtube-play.png	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/youtube-play.3f.delayed	(from https://davis-html.netlify.app/assets/css/lightgallery.min.css)
15:26:16	4178/4178	---M--	200	added ('OK')	image/gif	etag:%22f0d0dddbdfa0ca418c87c082a4270d48-ssl%22	https://davis-html.netlify.app/assets/img/loading.gif	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/loading.gif	(from https://davis-html.netlify.app/assets/css/lightgallery.min.css)
15:26:16	2532/2532	---M--	200	added ('OK')	image/png	etag:%22774518149bd40e273d35092e6753f297-ssl%22	https://davis-html.netlify.app/assets/img/logo.png	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/logo.png	(from https://davis-html.netlify.app/blog-details)
15:26:17	3825/3825	---M-Z	200	added ('OK')	text/html	etag:%223a970129c0b32d51aacd950cbf386940-ssl-df%22	https://davis-html.netlify.app/	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/index.html	(from https://davis-html.netlify.app/blog-details)
15:26:17	59742/59742	---MCZ	200	added ('OK')	text/html	etag:%220318fd6bdb1010e84f30548e4b4356af-ssl-df%22	https://davis-html.netlify.app/index1	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/index1.html	(from https://davis-html.netlify.app/blog-details)
15:26:18	295771/295771	---M--	200	added ('OK')	image/jpeg	etag:%22803a49da0bf05259ef7c9052bbc33acd-ssl%22	https://davis-html.netlify.app/assets/img/hero-bg17.jpg	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/hero-bg17.jpg	(from https://davis-html.netlify.app/blog-details)
15:26:19	147632/147632	---M--	200	added ('OK')	image/jpeg	etag:%2239ad265715656d8b876bdeb40f26dc1b-ssl%22	https://davis-html.netlify.app/assets/img/hero-bg3.jpg	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/hero-bg3.jpg	(from https://davis-html.netlify.app/blog-details)
15:26:19	245360/245360	---M--	200	added ('OK')	image/jpeg	etag:%2245efa9b5e51fb6926e3d910124a1743b-ssl%22	https://davis-html.netlify.app/assets/img/hero-bg4.jpg	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/hero-bg4.jpg	(from https://davis-html.netlify.app/blog-details)
15:26:20	234262/234262	---M--	200	added ('OK')	image/jpeg	etag:%22690f718a34900b30e8090d020258812c-ssl%22	https://davis-html.netlify.app/assets/img/hero-bg5.jpg	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/hero-bg5.jpg	(from https://davis-html.netlify.app/blog-details)
15:26:20	1492/1492	---M--	200	added ('OK')	image/jpeg	etag:%22f85c4f92f3b66ba64c954507e60d1541-ssl%22	https://davis-html.netlify.app/assets/img/comment1.jpg	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/comment1.jpg	(from https://davis-html.netlify.app/blog-details)
15:26:21	1690/1690	---M--	200	added ('OK')	image/jpeg	etag:%22793f32d72b66cd1f5d9931f0ff32273e-ssl%22	https://davis-html.netlify.app/assets/img/comment2.jpg	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/comment2.jpg	(from https://davis-html.netlify.app/blog-details)
15:26:22	14832/14832	---MCZ	200	added ('OK')	application/javascript	etag:%228e31b2589fa6396a1ed4210a6c4e7a74-ssl-df%22	https://davis-html.netlify.app/assets/js/ripples.min.js	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/js/ripples.min.js	(from https://davis-html.netlify.app/blog-details)
15:26:23	97436/97436	---M--	200	added ('OK')	image/jpeg	etag:%221fa9fc42dded2f1a51c51566ed8d38a5-ssl%22	https://davis-html.netlify.app/assets/img/demo/demo1.jpg	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/demo/demo1.jpg	(from https://davis-html.netlify.app/)
